id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-05-23 09:30:19,6.46,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-05-23 09:30:26,152.55,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-05-23 09:32:58,65.68,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-05-23 09:34:04,11.38,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-05-23 09:34:15,56.99,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-05-23 09:35:12,22.35,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-05-23 09:35:35,56.45,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-05-23 09:36:31,26.69,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-05-23 09:36:58,3.02,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-05-23 09:37:01,18.69,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-05-23 09:37:20,100.53,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-05-23 09:39:00,67.47,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-05-23 09:40:08,9.04,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-05-23 09:40:17,95.31,PASSED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-05-23 09:41:52,16.93,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-05-23 09:42:09,98.0,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-05-23 09:43:47,72.73,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-05-23 09:45:00,61.88,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-05-23 09:46:02,169.9,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-05-23 09:48:52,0.52,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-05-23 09:48:52,86.67,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-05-23 09:50:19,96.02,PASSED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-05-23 09:51:55,160.97,PASSED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-05-23 09:54:36,160.07,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-05-23 09:57:16,183.71,FAILED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-05-23 10:00:20,178.29,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-05-23 10:03:18,160.76,PASSED 



