id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-05-02 15:23:07,6.47,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-05-02 15:23:14,154.76,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-05-02 15:25:49,66.9,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-05-02 15:26:56,11.34,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-05-02 15:27:07,57.54,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-05-02 15:28:05,22.18,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-05-02 15:28:27,57.17,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-05-02 15:29:24,26.54,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-05-02 15:29:51,3.23,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-05-02 15:29:54,20.8,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-05-02 15:30:15,99.13,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-05-02 15:31:54,68.59,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-05-02 15:33:02,8.63,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-05-02 15:33:11,96.73,PASSED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-05-02 15:34:48,16.92,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-05-02 15:35:05,98.42,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-05-02 15:36:43,76.74,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-05-02 15:38:00,62.33,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-05-02 15:39:03,136.18,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-05-02 15:41:19,0.53,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-05-02 15:41:19,91.2,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-05-02 15:42:51,99.75,PASSED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-05-02 15:44:30,160.93,PASSED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-05-02 15:47:11,160.72,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-05-02 15:49:52,183.73,FAILED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-05-02 15:52:56,178.77,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-05-02 15:55:55,161.32,PASSED 



