id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-04-19 13:45:42,6.35,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-04-19 13:45:49,101.73,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-04-19 13:47:30,66.44,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-04-19 13:48:37,11.45,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-04-19 13:48:48,57.29,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-04-19 13:49:46,22.51,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-04-19 13:50:08,56.71,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-04-19 13:51:05,26.6,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-04-19 13:51:32,2.92,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-04-19 13:51:35,21.26,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-04-19 13:51:56,98.07,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-04-19 13:53:34,67.11,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-04-19 13:54:41,8.82,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-04-19 13:54:50,95.47,PASSED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-04-19 13:56:25,16.15,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-04-19 13:56:42,96.87,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-04-19 13:58:19,73.73,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-04-19 13:59:32,61.62,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-04-19 14:00:34,157.31,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-04-19 14:03:11,0.53,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-04-19 14:03:12,87.59,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-04-19 14:04:40,173.22,BLOCKED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-04-19 14:07:33,168.86,BLOCKED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-04-19 14:10:22,164.74,BLOCKED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-04-19 14:13:07,165.84,BLOCKED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-04-19 14:15:52,166.18,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-04-19 14:18:39,166.44,BLOCKED 



