id, title, cycle, startTime, duration, outcome
docker_plugin_finalize,"Validate docker plugin finalize command",1,2022-05-30 10:07:02,38.34,PASSED 
docker_plugin_install,"Validate docker plugin install",1,2022-05-30 10:07:41,35.15,PASSED 
docker_plugin_install_with_version,"Validate docker plugin install",1,2022-05-30 10:08:16,33.95,PASSED 
docker_plugin_remove,"Validate docker plugin remove",1,2022-05-30 10:08:50,34.19,PASSED 
docker_plugin_remove_with_version,"Validate docker plugin remove with version",1,2022-05-30 10:09:24,35.49,PASSED 
docker_plugin_update,"Validate docker plugin install updates existing containers",1,2022-05-30 10:10:00,65.51,PASSED 
SoftwareManagement.sm_docker_install_remove_multiple,"Validate end to end behaviour for the docker plugin for multiple docker images with mixed versions",1,2022-05-30 10:11:05,165.47,PASSED 



